PID,AGE,GENDER,SES,CACT1_1,CACT1_1A,CACT1_2,CACT1_2A,CACT1_3,CACT1_3A,CACT1_4,CACT1_4A,CACT1_5,CACT1_5A,CACT1_6,CACT1_6A,CACT1_7,CACT1_7A,CACT2_1,CACT2_2,CACT2_1A,CACT2_2A,CACT4,CACT4_1A,CACT5_1,CACT5_1A,CACT5_2,CACT5_2A,CACT5_3,CACT5_3A,CACT6_1,CACT6_1A,CACT6_2,CACT6_2A,CACT6_3,CACT6_3A,CACT6_4,CACT6_4A,CACT6_5,CACT6_5A,CACT6_6,CACT6_6A,CACT8_1,CACT8_1A,CACT8_2,CACT8_2A,CACT8_3,CACT8_3A,CEIE1_1,CEIE1_2,CEIE1_3,CEIE1_4,CEIE1_5,CEIE1_6,CEIE1_7,CEIE1_8,CEIE1_9,CEIE1_10,CEIE1_11,CEIE1_12,CEIE1_13,CEIE1_14,CEIE1_15,CEIE1_16,CEIE2_1,CEIE2_2,CEIE2_3
5c86ab096ef97400157488af,19,1,5,0,,1,5,0,,1,3.4,1,5,1,4.1,1,4.9,0,0,,,0,,1,5.8,1,6.1,1,4.9,1,2.4,1,6.2,1,7.6,1,4.9,1,2.3,1,5.4,1,2.3,0,,0,,0.9,2.3,2.3,6.5,6,3.6,2.1,7,4.9,6.6,2.8,2.7,7.2,6.2,6.2,0.5,0.8,0.5,1.2
5c86bef8f8dc240015b0f0f2,22,1,3,0,,1,9.8,1,1.5,0,,0,,0,,1,1.6,0,0,,,1,1,0,,1,6.5,1,8.1,1,3.5,1,6.5,0,,1,1.6,0,,0,,0,,1,2.4,0,,9.2,9.3,8,9.5,8.7,4.5,5.1,3.4,5.6,6.7,9.3,9.4,6.5,8.8,9.4,7.2,7.9,7.5,8.2
5c86ff9d4b443c001203aa80,25,1,6,0,,1,8.5,0,,0,,0,,0,,0,,0,0,,,0,,0,,1,5,1,3.3,0,,1,3.8,1,3.5,1,1.1,0,,1,1.1,0,,0,,0,,7.3,6.5,6.8,3.3,5.4,5,2.5,4.5,5.2,3.8,7.6,8.2,6.8,3.2,3.3,2.5,8.1,7.9,8
5c8739be3d081c000182a7dd,23,1,7,0,,1,6.8,0,,0,,1,5,1,7.5,0,,0,0,,,0,,0,,1,10,1,7.6,1,5.1,1,7.5,1,4.9,0,,0,,0,,0,,0,,0,,10,8.6,8.1,7.3,10,8.5,0.9,1,0.6,1,8.8,7.7,9.5,1.6,1.1,0.3,7.1,7.2,7.2
5c87d08027f8cb0017c95264,23,1,7,0,,1,3.3,0,,1,4.3,0,,1,1.9,0,,0,0,,,0,,0,,1,6.5,1,8.2,0,,1,1.3,1,1.3,1,2.1,0,,0,,0,,1,2,0,,6,5.2,7.1,1.7,2.9,6.6,8.8,9.3,8.8,6.8,8.4,6.3,7.2,6.4,3.6,4.9,6.1,5.5,8
5c87e9537cd1280017e4bedd,25,1,7,1,3,1,5.3,0,,0,,1,0.4,1,0.6,1,2.5,0,1,,5.4,0,,0,,1,7.4,1,5.2,0,,1,5,1,4.9,0,,0,,0,,1,1.7,0,,0,,7.6,7.7,8.2,4.7,8.5,7.5,7.8,10,10,10,8.5,4.8,10,7.6,1,1.3,10,10,10
5c88020cbce73c00178c59fc,22,1,5,0,,1,7,0,,1,2.6,1,2.5,0,,0,,0,0,,,0,,0,,1,7.7,1,4.7,1,0.2,1,2.5,0,,0,,0,,1,2.2,0,,0,,0,,4.6,4.1,6.4,5.8,3.4,6.9,5.7,4.6,8.5,3.1,8.9,6.9,7.9,7.4,3,3.5,7.7,8,7.8
5c880a114b0de2001a3512da,20,1,5,0,,1,6.1,0,,1,0.4,1,1.4,0,,1,1.3,0,0,,,1,1,1,2.1,1,5,0,,1,3.2,1,2.2,0,,0,,0,,0,,0,,0,,0,,5.5,5.3,5.8,6,5.5,7.4,2.8,7.6,6.7,3.8,9,9,4,3.4,5,2.3,6.3,3.5,6.3
5c882812fdc63100016fceed,23,1,8,1,14,1,7.5,0,,1,3.2,1,3.4,0,,1,4.3,1,1,7.7,7.4,0,,0,,1,8.9,1,5.5,0,,1,4.9,1,2.2,1,1.5,1,1.6,1,1.9,1,1.9,0,,0,,8.6,4.5,8.3,7.9,7.2,6.9,1.9,9.9,9.2,3.3,9.6,7.7,8.5,6.3,8.6,5.7,9.6,9.6,9.4
5c883ada146e370019e07075,21,1,6,0,,1,7.7,0,,1,5,0,,0,,0,,0,1,,7.6,0,,0,,1,7.7,1,7.6,1,7.6,1,7.7,0,,1,7.7,0,,0,,0,,0,,0,,7.1,8,6.9,7.5,5.1,6,4.1,4.5,5.2,6.1,6.7,7.4,6.7,6.5,2.6,4.6,8.2,7.4,7.2
