,tree_id,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,steward,guards,sidewalk,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other
355780,570446,38,0,OnCurb,Alive,Poor,Platanus x acerifolia,None,None,Damage,"Stones,RootOther,WiresRope,TrunkOther,BranchLights,BranchOther",Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
53533,225681,0,37,OnCurb,Stump,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
119829,323701,3,0,OnCurb,Dead,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
49456,232840,11,0,OnCurb,Alive,Good,Acer saccharinum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
182126,412937,0,29,OnCurb,Stump,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
12299,208139,4,0,OnCurb,Alive,Fair,Tilia cordata,1or2,Harmful,NoDamage,None,No,No,No,No,No,No,No,No,No
300378,377203,8,0,OnCurb,Alive,Good,Maackia amurensis,1or2,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
343716,564249,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
55658,253582,10,0,OnCurb,Alive,Good,Liquidambar styraciflua,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
602259,97648,3,0,OnCurb,Alive,Good,Prunus,None,None,Damage,None,No,No,No,No,No,No,No,No,No
197674,384479,6,0,OnCurb,Alive,Good,Styphnolobium japonicum,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
61789,259785,5,0,OnCurb,Alive,Good,Zelkova serrata,None,None,Damage,None,No,No,No,No,No,No,No,No,No
613994,126758,4,0,OnCurb,Alive,Good,Pyrus calleryana,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
670041,157374,19,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,"RootOther,BranchLights",No,No,Yes,No,No,No,Yes,No,No
556861,45471,7,0,OnCurb,Alive,Fair,Liquidambar styraciflua,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
362317,578673,10,0,OnCurb,Alive,Fair,Acer platanoides,1or2,Harmful,Damage,None,No,No,No,No,No,No,No,No,No
229107,437124,2,0,OnCurb,Alive,Good,Quercus rubra,1or2,None,Damage,None,No,No,No,No,No,No,No,No,No
65624,270850,13,0,OnCurb,Alive,Good,Tilia americana,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
246126,426844,6,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,Damage,None,No,No,No,No,No,No,No,No,No
364229,579281,6,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,1or2,Harmful,NoDamage,None,No,No,No,No,No,No,No,No,No
112348,223688,18,0,OnCurb,Alive,Fair,Quercus shumardii,1or2,Harmful,NoDamage,None,No,No,No,No,No,No,No,No,No
399412,613765,26,0,OnCurb,Alive,Good,Tilia cordata,None,None,Damage,None,No,No,No,No,No,No,No,No,No
311849,520789,8,0,OnCurb,Alive,Good,Quercus phellos,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
666817,185375,2,0,OnCurb,Alive,Fair,Ginkgo biloba,1or2,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
20722,216432,20,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,"RootOther,BranchLights",No,No,Yes,No,No,No,Yes,No,No
175469,358605,13,0,OnCurb,Alive,Good,Acer rubrum,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
447121,657713,4,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
520795,747,11,0,OnCurb,Alive,Fair,Quercus palustris,None,None,Damage,None,No,No,No,No,No,No,No,No,No
53817,236744,12,0,OnCurb,Alive,Good,Fraxinus americana,None,None,Damage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
143786,337342,6,0,OnCurb,Alive,Poor,Tilia americana,None,Harmful,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
