Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-05-24,2019,5,24,Friday,20,2019-20,283.74,284.2,282.09,282.78,55268100,268.04,0.002268420345741484,270.4242857142857,271.9218
2019-05-28,2019,5,28,Tuesday,21,2019-21,283.09,284.15,280.13,280.15,70029400,265.55,-0.009300661737129956,269.89714285714285,271.8998
2019-05-29,2019,5,29,Wednesday,21,2019-21,278.91,279.36,276.71,278.27,104972900,263.77,-0.006710523956864778,269.27000000000004,271.8228
2019-05-30,2019,5,30,Thursday,21,2019-21,279.11,280.04,277.81,279.03,62523800,264.49,0.0027311757592474173,268.75357142857143,271.75899999999996
2019-05-31,2019,5,31,Friday,21,2019-21,276.2,277.12,275.24,275.27,86862800,260.92,-0.01347537779357244,267.8842857142857,271.6398
2019-06-03,2019,6,3,Monday,22,2019-22,275.31,276.55,273.09,274.57,96428000,260.26,-0.002542695411522522,267.4585714285714,271.44719999999995
2019-06-04,2019,6,4,Tuesday,22,2019-22,277.12,280.68,276.62,280.53,77231900,265.91,0.021706701099710735,267.2642857142857,271.4714
2019-06-05,2019,6,5,Wednesday,22,2019-22,282.33,282.99,280.32,282.96,71169700,268.21,0.00866221327657457,267.1221428571429,271.54560000000004
2019-06-06,2019,6,6,Thursday,22,2019-22,283.29,285.55,282.57,284.8,69430400,269.96,0.006502451575230772,266.92571428571426,271.61539999999997
2019-06-07,2019,6,7,Friday,22,2019-22,285.93,288.85,285.74,287.65,74272200,272.66,0.010007248483719478,267.0485714285714,271.767
2019-06-10,2019,6,10,Monday,23,2019-23,289.37,290.82,288.87,288.97,60799100,273.91,0.004588610995206022,267.3885714285714,271.92359999999996
2019-06-11,2019,6,11,Tuesday,23,2019-23,290.99,291.4,288.18,288.9,58641300,273.84,-0.00024221467551310827,267.55,272.0452
2019-06-12,2019,6,12,Wednesday,23,2019-23,288.64,289.26,287.82,288.39,47096300,273.36,-0.0017653414254565902,267.7371428571429,272.0938
2019-06-13,2019,6,13,Thursday,23,2019-23,289.4,289.98,288.62,289.58,48945200,274.49,0.004126488948806406,268.2407142857143,272.1622
2019-06-14,2019,6,14,Friday,23,2019-23,289.26,289.93,288.41,289.26,52324700,274.19,-0.0011050138991158809,268.68,272.2162
2019-06-17,2019,6,17,Monday,24,2019-24,289.52,290.22,289.18,289.37,39205700,274.29,0.00038043220571215564,269.30428571428575,272.2578
2019-06-18,2019,6,18,Tuesday,24,2019-24,291.39,293.57,290.99,292.4,85434800,277.16,0.010470702061073922,270.2607142857143,272.3304
2019-06-19,2019,6,19,Wednesday,24,2019-24,292.55,293.65,291.47,293.06,78674400,277.79,0.0022573107425354344,271.2107142857143,272.4114
2019-06-20,2019,6,20,Thursday,24,2019-24,296.04,296.31,293.13,295.86,116570000,280.44,0.009554358796499463,272.605,272.5734
