Player Name,Team,Position,Games,Goals,Assists,Points,Plus Minus,Penalty Minutes,Shots on Goal,Game Winning Goals,Power Play Goals,Power Play Assists,Short Handed Goals,Short Handed Assists,Hits,Blocked Shots
Dawson Mercer,NJ,C,82,17,25,42,-25,28,154,2,2,3,1,1,26,35
Robby Fabbri,DET,LW,56,17,13,30,-23,35,123,1,6,2,0,0,86,19
Anthony Cirelli,TB,C,76,17,26,43,15,70,146,4,3,5,1,0,75,67
Yakov Trenin,NSH,C,80,17,7,24,7,46,136,2,0,0,0,0,191,33
John Carlson,WAS,D,78,17,54,71,13,20,195,2,7,18,0,3,73,112
Jordan Staal,CAR,C,78,17,19,36,11,18,146,2,1,1,0,0,212,29
Blake Wheeler,WPG,RW,65,17,43,60,-15,36,167,2,3,17,0,0,62,37
Travis Boyd,ARI,C,74,17,18,35,-10,34,88,2,2,2,0,0,71,55
Reilly Smith,VGK,RW,56,16,22,38,4,8,150,3,3,4,2,2,55,23
Blake Coleman,CGY,C,81,16,17,33,16,60,212,2,0,0,1,1,163,44
Craig Smith,BOS,RW,74,16,20,36,2,28,187,1,0,4,0,0,95,28
Vladislav Namestnikov,TB,C,75,16,14,30,2,45,91,1,0,1,1,0,62,39
Charlie Coyle,BOS,C,82,16,28,44,-6,32,131,5,3,6,0,1,84,39
Justin Faulk,STL,D,76,16,31,47,41,43,167,6,1,6,0,0,149,101
