,game_end_time_utc,game_id,game_mode,game_outcome,game_start_time_utc,game_type,realm_id
2704,2022-12-10 21:35:42,88d02894-b1a1-46b3-96b0-8d4b410b2c96,Matchmaking,Win,2022-12-10 21:05:54,Ranked,na
2705,2022-12-10 22:28:57,aae3b4c6-a0b9-4363-b775-aa919567da0a,Matchmaking,Loss,2022-12-10 21:53:57,Ranked,na
2706,2022-12-10 23:15:30,2e798682-a474-4b86-9bdc-9d65e9701343,Matchmaking,Loss,2022-12-10 22:37:49,Ranked,na
2707,2022-12-11 03:36:41,927ad4e7-b16d-4190-ae40-97929dbd7f29,Matchmaking,Loss,2022-12-11 03:30:55,Deathmatch,na
2708,2022-12-11 04:09:42,5b0f9db8-5014-42d3-a7b2-c98704f11427,Matchmaking,Loss,2022-12-11 03:39:49,Ranked,na
2709,2022-12-11 04:45:08,e70cd776-1b1f-421f-9240-38b9089943c4,Matchmaking,Loss,2022-12-11 04:20:09,Ranked,na
2710,2022-12-11 05:22:35,da905ee2-60f2-4b2e-9c93-0884f42318b8,Matchmaking,Win,2022-12-11 04:52:48,Ranked,na
2711,2022-12-11 06:10:22,7007c60b-c22d-4302-925a-8460eae79d9d,Matchmaking,Win,2022-12-11 05:28:18,Ranked,na
2712,2022-12-11 07:12:26,0bf0ac09-4b94-4546-bcd1-2b9864a52a36,Matchmaking,Win,2022-12-11 06:25:08,Ranked,na
2713,2022-12-11 07:54:42,924cbbcc-e791-40bd-a08c-d0b831842fbc,Matchmaking,Loss,2022-12-11 07:28:44,Ranked,na
2714,2022-12-11 08:07:38,ab34e703-be16-497f-8e13-ac1ee106aeb2,Matchmaking,Loss,2022-12-11 07:59:57,Deathmatch,na
2715,2022-12-11 08:41:48,dee74035-cb0a-45ab-a87c-201801709fcb,Matchmaking,Win,2022-12-11 08:10:45,Ranked,na
2716,2022-12-11 09:30:39,45d7c9d2-2309-414b-a22e-4127a7a97c7b,Matchmaking,Loss,2022-12-11 08:50:33,Ranked,na
2717,2022-12-11 10:08:07,91dc41ff-b054-4e9f-8263-6106a8593582,Matchmaking,Loss,2022-12-11 09:36:25,Ranked,na
2718,2022-12-13 21:37:37,184ff436-d1ef-4779-832e-585ad26c62a1,ShootingRange,Loss,2022-12-13 21:22:32,Not Applicable,na
2719,2022-12-13 21:43:29,a3ee90c8-9d2b-4f70-9d2c-5f9a07e46fa5,Matchmaking,Loss,2022-12-13 21:37:52,Deathmatch,na
2720,2022-12-13 21:54:55,426466aa-1283-4592-8bbf-7060323dcdc6,Matchmaking,Loss,2022-12-13 21:47:02,Deathmatch,na
2721,2022-12-13 22:23:49,3546145e-fdee-49a2-848b-56b4c1821138,Matchmaking,Loss,2022-12-13 21:55:25,Ranked,na
2722,2022-12-13 23:10:10,672a2c81-3afa-4439-a8e2-e26040a1acc7,Matchmaking,Loss,2022-12-13 22:30:16,Ranked,na
2723,2022-12-13 23:51:23,b6453886-8ca4-4922-8bb9-bae6b672d497,Matchmaking,Win,2022-12-13 23:16:23,Ranked,na
2724,2022-12-14 22:44:51,ea76e86e-3684-421d-9180-81336bf88ecf,ShootingRange,Loss,2022-12-14 22:35:34,Not Applicable,na
2725,2022-12-14 22:52:29,7c771bcc-c8ff-4b41-9a52-029fd052b121,Matchmaking,Loss,2022-12-14 22:45:28,Deathmatch,na
2726,2022-12-14 23:02:18,6d964a5b-7da7-4626-b495-1a2aa967d720,Matchmaking,Win,2022-12-14 22:53:37,Deathmatch,na
2727,2022-12-14 23:30:37,73b6822f-a109-4e52-9397-e9f9445e57ff,Matchmaking,Loss,2022-12-14 23:02:57,Ranked,na
2728,2022-12-15 00:04:16,be8da623-fbbd-45b5-baf8-c240f3f854bd,Matchmaking,Loss,2022-12-14 23:35:41,Ranked,na
2729,2022-12-15 04:25:11,6c4732a2-c88b-4a8b-9781-badc197cb944,Matchmaking,Loss,2022-12-15 04:17:52,Deathmatch,na
2730,2022-12-15 05:04:49,e259cbd2-d992-4a6f-9b6c-429e625d1739,Matchmaking,Win,2022-12-15 04:22:23,Ranked,na
2731,2022-12-15 05:53:56,1b8b813c-479b-402c-8160-aaae1a102e23,Matchmaking,Win,2022-12-15 05:20:24,Ranked,na
2732,2022-12-16 21:29:25,7cbd3a06-0df4-44bd-a3d5-8adba013ddee,ShootingRange,Loss,2022-12-16 21:28:10,Not Applicable,na
2733,2022-12-16 22:13:34,d415b1ee-2c43-4a31-8fc1-b98abdcf2618,Matchmaking,Win,2022-12-16 21:56:43,Swiftplay,na
2734,2022-12-16 22:31:22,a84d9dc1-1feb-4358-95b7-5b248c7d2478,Matchmaking,Loss,2022-12-16 22:17:37,Swiftplay,na
2735,2022-12-16 22:46:11,fb0743ab-6c88-4454-9e0c-26cf71145989,Matchmaking,Win,2022-12-16 22:34:22,Swiftplay,na
2736,2022-12-16 23:02:33,499fdf8a-345f-4622-ad97-fc4f8d7975e4,Matchmaking,Win,2022-12-16 22:48:07,Swiftplay,na
2737,2022-12-18 04:17:51,17329fea-a024-48f8-8294-75e25c4eed2e,ShootingRange,Loss,2022-12-18 04:11:00,Not Applicable,na
2738,2022-12-18 04:24:16,8716c6b1-4bca-4cbe-aec9-ad80f99a0df2,Matchmaking,Loss,2022-12-18 04:18:09,Deathmatch,na
2739,2022-12-18 04:31:52,e5305184-31a1-489e-9ceb-419e64846499,Matchmaking,Loss,2022-12-18 04:25:00,Deathmatch,na
2740,2022-12-18 05:16:03,6df81fb5-6304-40e3-b8b2-609c2fceeeb9,Matchmaking,Loss,2022-12-18 04:39:15,Ranked,na
2741,2022-12-18 05:51:00,a92ff697-7287-4fbe-8a0e-f3c5e8a7b583,Matchmaking,Win,2022-12-18 05:18:55,Ranked,na
2742,2022-12-19 22:11:55,43daae4f-f8a9-42d6-8005-6a19ea6ed4fd,ShootingRange,Loss,2022-12-19 22:06:06,Not Applicable,na
2743,2022-12-19 22:22:36,b294cabe-4113-4c8f-af00-228804e23726,Matchmaking,Loss,2022-12-19 22:12:48,Deathmatch,na
2744,2022-12-19 22:55:44,65c2b862-5f89-4a0a-81da-31a21f740168,Matchmaking,Win,2022-12-19 22:19:30,Ranked,na
2745,2022-12-19 23:23:13,679425a4-9833-40fd-97ab-2d5f10c1cfdc,Matchmaking,Win,2022-12-19 22:59:38,Ranked,na
2746,2022-12-19 23:55:49,8207f5ef-a856-4c71-ae04-857d3ab12c7c,Matchmaking,Loss,2022-12-19 23:26:28,Ranked,na
2747,2022-12-20 22:29:42,d359b92d-a75a-461a-96d9-2db23a9bfdea,ShootingRange,Loss,2022-12-20 22:22:03,Not Applicable,na
2748,2022-12-20 22:37:37,4124356b-524e-4ab3-a568-a99c656bb031,Matchmaking,Loss,2022-12-20 22:30:02,Deathmatch,na
2749,2022-12-20 23:16:33,ec0ce81c-43b0-4604-92a0-74f5873be421,Matchmaking,Loss,2022-12-20 22:38:04,Ranked,na
2750,2022-12-20 23:58:57,0a08bb32-88bb-4e57-aa56-d91fb7851a4b,Matchmaking,Win,2022-12-20 23:24:21,Ranked,na
2751,2022-12-21 00:49:38,0021aad2-2952-4136-b74d-b384b8874a21,Matchmaking,Loss,2022-12-21 00:07:51,Ranked,na
2752,2022-12-21 21:33:35,a5dba489-9454-475d-9b59-4d36d2dc7b46,Matchmaking,Win,2022-12-21 21:24:19,Swiftplay,na
2753,2022-12-21 21:46:16,b7f1af16-1e7d-44bf-9e86-9834362b67ca,ShootingRange,Loss,2022-12-21 21:38:20,Not Applicable,na
2754,2022-12-21 21:53:13,960011ab-bb64-4783-8e26-a6ecf17f6f36,Matchmaking,Loss,2022-12-21 21:46:45,Deathmatch,na
2755,2022-12-21 21:56:55,d3eca786-e32c-4ceb-ba76-3fc151f11307,Matchmaking,Loss,2022-12-21 21:50:09,Deathmatch,na
2756,2022-12-21 21:59:35,86c79ea7-b249-426f-b58e-3cc1fc90bd10,ShootingRange,Loss,2022-12-21 21:59:11,Not Applicable,na
2757,2022-12-21 22:08:08,23426a48-450a-4a75-9a3f-f0ab8b125390,Matchmaking,Loss,2022-12-21 22:00:06,Deathmatch,na
2758,2022-12-21 22:52:31,571f26c5-f137-4ec9-ad52-7c4f96fd8f17,Matchmaking,Win,2022-12-21 22:13:40,Ranked,na
2759,2022-12-21 23:31:08,ec47886d-4ce2-4928-bfd5-51d6b18f531d,Matchmaking,Loss,2022-12-21 22:56:17,Ranked,na
2760,2022-12-24 03:44:55,107b2fb8-e37a-4e29-8f0d-b0a7bec56666,ShootingRange,Loss,2022-12-24 03:36:59,Not Applicable,na
2761,2022-12-24 03:51:29,94793dea-c3cd-40fc-a1b6-c11b34cc22bf,Matchmaking,Loss,2022-12-24 03:45:18,Deathmatch,na
2762,2022-12-24 04:00:47,1d0550ce-7af1-411e-93a8-edffc4e51de2,Matchmaking,Loss,2022-12-24 03:52:21,Deathmatch,na
2763,2022-12-24 04:33:45,b4f32180-fcbd-4b03-b903-493be8088ce9,Matchmaking,Win,2022-12-24 03:58:13,Ranked,na
