,School Name,School Type,Town,Grade,% African American,% Asian,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Average Class Size,Number of Students,% Graduated,% Still in School,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
114,Thomas Ditson,Public School,Billerica,"K,01,02,03,04,05",5.0,9.0,0.0,0.0,4.4,48.9,51.1,19.0,558.0,,,,,,,,,,
115,Another Course To College,Public School,Hyde Park,"09,10,11,12",43.0,5.8,0.4,0.4,3.1,49.3,50.7,16.8,239.0,96.2,1.9,24.0,10.0,2.0,0.0,0.0,377.0,395.0,407.0
116,Baldwin Early Learning Center,Public School,Brighton,"PK,K,01",15.1,25.8,0.0,0.0,4.4,59.7,40.3,18.8,157.0,,,,,,,,,,
117,Beethoven,Public School,West Roxbury,"PK,K,01,02,03",23.4,3.6,0.0,0.0,2.7,49.5,50.5,17.2,349.0,,,,,,,,,,
118,Blackstone,Public School,Boston,"PK,K,01,02,03,04,05",24.1,1.5,0.0,0.2,1.2,52.6,47.4,18.6,654.0,,,,,,,,,,
119,Boston Adult Academy,Public School,Back Bay,"11,12",53.8,2.0,0.0,1.0,1.0,48.7,51.3,18.1,245.0,27.6,40.2,,,,,,,,
120,Boston Arts Academy,Public School,Boston,"09,10,11,12",40.5,4.5,0.0,0.0,3.1,36.2,63.8,14.6,433.0,89.8,6.1,14.0,4.0,0.0,0.0,0.0,437.0,427.0,435.0
121,Boston Collaborative High School,Public School,Roslindale,"07,08,09,10,11,12",43.0,1.0,1.0,0.0,1.0,51.8,48.2,31.1,259.0,47.6,47.6,,,,,,,,
122,Boston Community Leadership Academy,Public School,Hyde Park,"09,10,11,12",36.0,4.8,0.4,0.0,1.8,51.2,48.8,16.5,502.0,89.3,5.7,127.0,79.0,27.0,13.0,6.0,396.0,390.0,431.0
123,Boston International High School,Public School,Dorchester,"09,10,11,12",47.4,3.4,0.0,0.8,1.1,51.9,48.1,15.3,518.0,55.6,23.6,12.0,6.0,4.0,6.0,4.0,313.0,305.0,347.0
124,Boston Latin,Public School,Boston,"07,08,09,10,11,12",8.0,29.0,0.1,0.0,3.8,45.1,54.9,25.8,2429.0,98.1,1.7,84.0,278.0,615.0,640.0,476.0,629.0,614.0,647.0
125,Boston Latin Academy,Public School,Dorchester,"07,08,09,10,11,12",22.7,21.9,0.4,0.2,2.9,41.9,58.1,17.9,1690.0,96.9,2.0,119.0,232.0,211.0,97.0,47.0,526.0,527.0,557.0
126,Boston Teachers Union School,Public School,Jamaica Plain,"PK,K,01,02,03,04,05,06,07,08",23.0,2.7,0.3,0.0,3.4,51.4,48.6,18.6,325.0,,,,,,,,,,
127,Brighton High,Public School,Brighton,"09,10,11,12",44.3,3.1,0.4,0.1,1.0,60.3,39.7,17.8,958.0,62.0,15.1,93.0,34.0,4.0,1.0,0.0,357.0,352.0,392.0
128,Carter Developmental Center,Public School,Boston,"07,08,09,10,11,12",51.7,13.8,0.0,3.4,0.0,62.1,37.9,27.0,27.0,,,,,,,,,,
129,Charles H Taylor,Public School,Mattapan,"PK,K,01,02,03,04,05",75.1,1.2,1.0,0.2,2.8,51.1,48.9,18.6,592.0,,,,,,,,,,
130,Charles Sumner,Public School,Roslindale,"PK,K,01,02,03,04,05",19.2,1.4,0.0,0.2,4.3,53.2,46.8,18.9,584.0,,,,,,,,,,
131,Charlestown High,Public School,Charlestown,"09,10,11,12",33.1,17.0,0.1,0.0,1.1,60.1,39.9,15.2,952.0,53.9,22.1,77.0,37.0,19.0,9.0,12.0,346.0,349.0,433.0
132,Clarence R Edwards Middle,Public School,Charlestown,"06,07,08",13.1,7.5,0.0,0.0,1.8,54.3,45.7,19.4,397.0,,,,,,,,,,
133,Community Academy,Public School,Jamaica Plain,"09,10,11,12",68.2,0.0,0.0,0.0,4.5,88.6,11.4,7.6,76.0,20.7,20.7,,,,,,,,
134,Community Academy of Science and Health,Public School,Dorchester,"09,10,11,12",69.6,3.3,0.0,0.0,1.6,54.0,46.0,16.6,442.0,75.7,18.9,89.0,23.0,3.0,2.0,0.0,337.0,340.0,374.0
135,Curley K-8 School,Public School,Jamaica Plain,"PK,K,01,02,03,04,05,06,07,08",18.7,2.5,0.0,0.1,4.7,49.6,50.4,19.0,950.0,,,,,,,,,,
136,Curtis Guild,Public School,East Boston,"PK,K,01,02,03,04,05",1.0,0.6,0.0,0.0,0.6,52.4,47.6,16.8,365.0,,,,,,,,,,
137,Dante Alighieri Montessori School,Public School,East Boston,"PK,K,01,02,03,04,05,06",1.0,0.0,0.0,0.0,6.3,49.0,51.0,6.6,87.0,,,,,,,,,,
138,David A Ellis,Public School,Roxbury,"PK,K,01,02,03,04,05",35.8,0.2,0.2,0.0,1.6,49.8,50.2,18.6,483.0,,,,,,,,,,
139,Dearborn,Public School,Dorchester,"06,07,08,09,10,11,12",67.3,0.3,0.6,0.0,3.6,55.0,45.0,13.9,277.0,,,,,,,,,,
140,Dennis C Haley,Public School,Roslindale,"PK,K,01,02,03,04,05,06,07,08",30.8,1.1,0.2,0.4,5.8,48.5,51.5,22.9,461.0,,,,,,,,,,
141,Donald Mckay,Public School,East Boston,"PK,K,01,02,03,04,05,06,07,08",2.2,0.5,0.0,0.0,0.8,51.2,48.8,19.2,722.0,,,,,,,,,,
142,Dorchester Academy,Public School,Dorchester,"09,10,11,12",61.6,1.0,0.0,0.0,1.0,45.5,54.5,10.7,124.0,16.4,41.0,,,,,,373.0,384.0,405.0
143,Dr. Catherine Ellison-Rosa Parks Early Ed School,Public School,Mattapan,"PK,K,01,02,03",50.3,1.1,1.1,0.0,1.6,55.6,44.4,18.2,190.0,,,,,,,,,,
144,Dr. William Henderson Lower,Public School,Dorchester,"PK,K,01,02",25.8,13.8,0.0,0.5,2.3,47.9,52.1,25.1,225.0,,,,,,,,,,
145,Dr. William Henderson Upper,Public School,Dorchester,"03,04,05,06,07,08,09,10,11,12",43.2,6.7,0.2,0.2,2.4,54.7,45.3,17.1,413.0,55.9,26.5,,,,,,338.0,316.0,352.0
146,ELC - West Zone,Public School,Jamaica Plain,"PK,K,01",22.8,7.9,0.9,0.0,5.3,54.4,45.6,17.4,95.0,,,,,,,,,,
147,East Boston Early Childhood Center,Public School,East Boston,"PK,K,01",5.9,1.2,0.0,0.0,2.4,55.3,44.7,17.9,183.0,,,,,,,,,,
148,East Boston High,Public School,East Boston,"09,10,11,12",6.9,1.3,0.6,0.0,0.8,56.7,43.3,17.7,1588.0,67.7,17.8,187.0,77.0,28.0,12.0,3.0,384.0,389.0,415.0
149,Edison K-8,Public School,Brighton,"PK,K,01,02,03,04,05,06,07,08",19.9,15.7,0.6,0.1,2.6,54.4,45.6,19.8,855.0,,,,,,,,,,
150,Edward Everett,Public School,Dorchester,"PK,K,01,02,03,04,05",42.8,19.1,0.4,0.0,3.2,52.9,47.1,20.9,295.0,,,,,,,,,,
151,Eliot Elementary,Public School,Boston,"PK,K,01,02,03,04,05,06,07,08",9.5,6.8,0.2,0.2,5.6,50.7,49.3,18.7,520.0,,,,,,,,,,
152,Ellis Mendell,Public School,Roxbury,"PK,K,01,02,03,04,05",22.5,0.4,0.0,0.0,7.4,52.5,47.5,18.4,237.0,,,,,,,,,,
153,Excel High School,Public School,South Boston,"09,10,11,12",37.7,21.9,0.4,0.4,1.1,61.9,38.1,17.0,587.0,66.3,13.3,48.0,17.0,12.0,1.0,2.0,345.0,359.0,405.0
154,Fenway High School,Public School,Roxbury,"09,10,11,12",33.9,3.6,0.0,0.3,1.7,47.2,52.8,21.9,342.0,87.7,6.8,,,,,,392.0,393.0,437.0
155,Franklin D Roosevelt,Public School,Hyde Park,"PK,K,01,02,03,04,05,06,07,08",33.1,2.2,0.0,0.2,1.3,49.0,51.0,23.0,472.0,,,,,,,,,,
156,Gardner Pilot Academy,Public School,Allston,"PK,K,01,02,03,04,05,06,07,08",12.0,5.2,0.0,0.5,4.0,53.1,46.9,16.9,387.0,,,,,,,,,,
157,George H Conley,Public School,Roslindale,"PK,K,01,02,03,04,05",36.5,2.7,0.0,0.0,2.7,56.3,43.7,15.1,232.0,,,,,,,,,,
158,Greater Egleston Community High School,Public School,Roxbury,"10,11,12",30.7,0.0,0.9,0.0,1.8,53.8,46.2,15.3,267.0,27.1,61.5,,,,,,357.0,357.0,403.0
