Item,Sku Name,Sku Size,Style,Order Number,Price,Price Currency,Final Payout Amount,Final Payout Currency,Payout Method,Sale Date,Status,Seller Tracking Number,Payout ID
Fear of God Essentials Core Collection T-shirt Stretch Limo,Essentials Core Collection,M,N/A,41064478-40964237,60,USD,49.2,USD,ACH,2022-08-25 21:58:59 +00,Delivered,1Z527Y0Y9040150524,""
Jordan 11 Retro Low White Concord (Women's),White Concord (Women's),5W,AH7860-100,40904766-40804525,173,USD,153.11,USD,ACH,2022-08-21 21:39:49 +00,Delivered,1Z45072V9015495892,""
Jordan 1 Mid Tropical Twist Igloo (GS),Tropical Twist Igloo (GS),5.5Y,554725-132,40839234-40738993,110,USD,97.35,USD,ACH,2022-08-19 22:17:51 +00,Delivered,1Z45072V9015495892,""
Nike Air Force 1 Low First Use Cream (Women's),First Use Cream (Women's),10.5W,DA8302-101,40945531-40845290,150,USD,132.75,USD,ACH,2022-08-22 23:05:06 +00,Delivered,1Z45072V9015495892,""
ASICS Gel-Lyte III Sean Wotherspoon x atmos,Sean Wotherspoon x atmos,10.5,1203A019-000,40819703-40719462,234,USD,207.09,USD,ACH,2022-08-19 13:16:36 +00,Delivered,1Z45072V9015495892,""
Jordan 12 Retro Indigo (GS),Indigo (GS),6.5Y,DB5595-404,40925507-40825266,196,USD,173.46,USD,ACH,2022-08-22 12:38:47 +00,Delivered,1Z45072V9015495892,""
Jordan 4 Retro Red Thunder (TD),Red Thunder (TD),7C,BQ7670-016,40419455-40319214,75,USD,63.75,USD,ACH,2022-08-09 03:55:13 +00,Delivered,1Z45072V9006836754,""
Nike Air Max 90 Premium Off Noir,Off Noir,9,DA1641-003,40430409-40330168,140,USD,123.9,USD,ACH,2022-08-09 13:35:35 +00,Delivered,1Z45072V9006836754,""
Jordan 1 Mid University Gold (GS),University Gold (GS),4.5Y,554725-170,40490534-40390293,96,USD,84.12,USD,ACH,2022-08-10 21:27:59 +00,Delivered,1Z45072V9006836754,""
Jordan 4 Retro Red Thunder (PS),Red Thunder (PS),2.5Y,BQ7669-016,40520553-40420312,122,USD,107.97,USD,ACH,2022-08-11 15:50:21 +00,Delivered,1Z45072V9006836754,""
Nike Air Max 1 Patta Waves Noise Aqua (with Bracelet),Patta Waves Noise Aqua (with Bracelet),9,DH1348-004,40413995-40313754,265,USD,234.53,USD,ACH,2022-08-09 01:38:39 +00,Delivered,1Z45072V9006836754,""
adidas Yeezy Boost 700 V2 Cream,Cream,7,GY7924,40500123-40399882,306,USD,270.81,USD,ACH,2022-08-11 01:45:56 +00,Delivered,1Z45072V9006836754,""
Nike Dunk High Game Royal,Game Royal,10,DD1399-102,40462305-40362064,153,USD,135.41,USD,ACH,2022-08-10 03:50:34 +00,Delivered,1Z45072V9006836754,""
Nike Cortez SP Union Off Noir,Union Off Noir,7.5,DR1413-001,40479784-40379543,104,USD,91.88,USD,ACH,2022-08-10 16:43:13 +00,Delivered,1Z45072V9006836754,""
Jordan 1 Retro High OG Rebellionaire,Rebellionaire,11,555088-036,40429937-40329696,274,USD,242.49,USD,ACH,2022-08-09 13:15:04 +00,Delivered,1Z45072V9006836754,""
Jordan 1 Mid Tropical Twist Igloo (GS),Tropical Twist Igloo (GS),5.5Y,554725-132,40537493-40437252,110,USD,97.35,USD,ACH,2022-08-11 23:27:21 +00,Delivered,1Z45072V9006836754,""
