,Breed,Classification,obey,reps_lower,reps_upper,Country of Origin,Fur Color,Height,Color of Eyes,Longevity (yrs),bladder stones,cancer,ear infections,eye issues,elbow dysplasia,eye problems,dental problems,respiratory issues,heart conditions,diabetes,hip dysplasia,pancreatitis,intervertebral disc disease,obesity,epilepsy,hereditary myopathy,breathing problems,skin allergies,kind,intelligent,strong,gentle,athletic,charming,calm,brave,curious,trainable,independent,good-natured,hypoallergenic,energetic,playful,affectionate,active,social,loyal,confident,patient,sensitive,friendly,protective
46,bichon frise,Average,50,26,40,France,White,10.0,Brown,13.5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
47,jack russell terrier,Average,50,26,40,England,"White, Black & Tan",11.0,Brown,13.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
48,greyhound,Average,50,26,40,England,"Black, White, Brindle",28.0,Brown,11.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
49,wirehaired pointing griffon,Average,50,26,40,Belgium,"Brown, White",22.5,Brown,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
50,west highland white terrier,Average,50,26,40,Scotland,White,11.5,Brown,14.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
51,scottish deerhound,Average,50,26,40,Scotland,"Blue, Grey",30.0,Brown,9.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
52,boxer,Average,50,26,40,Germany,"Fawn, Brindle",23.0,Brown,11.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
53,great dane,Average,50,26,40,Germany,"Black, Blue, Fawn, Harlequin",31.0,Brown,9.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
54,dachshund,Average,50,26,40,Germany,"Black, Tan",7.0,"Brown, Blue",13.5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
55,staffordshire bull terrier,Average,50,26,40,England,"White, Black, Red",15.0,Brown,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
56,whippet,Average,50,26,40,England,"White, Black, Red",20.0,Brown,13.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
57,rhodesian ridgeback,Average,50,26,40,Rhodesia,Light Wheaten,26.0,Brown,11.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
58,welsh terrier,Average,50,26,40,Wales,"Black, Tan",11.0,Brown,13.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
59,irish terrier,Average,50,26,40,Ireland,Red,15.0,Brown,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
60,boston terrier,Average,50,26,40,United States,"Black, White",16.0,Brown,12.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
61,akita,Average,50,26,40,Japan,"Red, Fawn, Sesame",26.0,Brown,11.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
62,pug,Below Average,30,41,80,China,"Fawn, Black",12.0,Brown,13.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
63,french bulldog,Below Average,30,41,80,France,"White, Black, Brindle",11.5,Brown,11.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
64,maltese,Below Average,30,41,80,Malta,White,9.0,Brown,13.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
65,italian greyhound,Below Average,30,41,80,Italy,"Red, Black",14.0,Brown,13.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
66,chinese crested,Below Average,30,41,80,China,"Pink, White, Black",12.0,Brown,15.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
